iter	Logloss
0	0.6249989867
1	0.5806585707
2	0.540716313
3	0.5147484505
4	0.4916344439
5	0.4742494769
6	0.461797554
7	0.452683192
8	0.4432912612
9	0.4363997379
10	0.4302680891
11	0.4257963794
12	0.4216842069
13	0.4176954166
14	0.4146407446
15	0.4115941496
16	0.4094413576
17	0.4085359946
18	0.4066791497
19	0.4052204385
20	0.4029122454
21	0.401024761
22	0.3998235182
23	0.3982825985
24	0.3971678266
25	0.3956548905
26	0.3945640534
27	0.3932487084
28	0.3928009899
29	0.3914449381
30	0.3905465535
31	0.389795072
32	0.3892517629
33	0.3884491893
34	0.3874269107
35	0.3863669045
36	0.3854908144
37	0.3848383148
38	0.3841278069
39	0.3837331295
40	0.3831489129
41	0.382894323
42	0.3817616072
43	0.3811427583
44	0.3804766396
45	0.3800212336
46	0.3790875212
47	0.3783959307
48	0.3776362808
49	0.3769893237
