iter	Passed	Remaining
0	56	2745
1	80	1935
2	102	1610
3	128	1478
4	148	1340
5	170	1246
6	194	1191
7	217	1140
8	238	1088
9	264	1059
10	286	1016
11	308	977
12	333	948
13	355	912
14	376	878
15	400	850
16	419	814
17	439	781
18	458	748
19	479	719
20	500	691
21	535	681
22	555	651
23	573	621
24	595	595
25	641	592
26	684	582
27	718	564
28	752	544
29	774	516
30	792	485
31	816	459
32	836	430
33	856	403
34	888	380
35	909	353
36	929	326
37	969	306
38	1005	283
39	1028	257
40	1048	230
41	1077	205
42	1103	179
43	1396	190
44	1793	199
45	2020	175
46	2116	135
47	2155	89
48	2183	44
49	2203	0
